first,sex,occurences,year
Alicia,F,1036,1956
Bernice,F,1036,1956
Jamie,F,1030,1956
Francine,F,1025,1956
Beatrice,F,1010,1956
Rosie,F,1009,1956
Tanya,F,1007,1956
Cecilia,F,995,1956
Kristine,F,994,1956
Dora,F,993,1956
Susie,F,990,1956
Ella,F,989,1956
Claire,F,986,1956
Iris,F,977,1956
Faye,F,973,1956
Ginger,F,972,1956
Sabrina,F,956,1956
Antoinette,F,952,1956
Bertha,F,950,1956
Alma,F,948,1956
Nadine,F,948,1956
Florence,F,943,1956
Lauren,F,935,1956
Crystal,F,932,1956
Ida,F,932,1956
Willie,F,932,1956
Shelly,F,929,1956
Lucinda,F,925,1956
Bernadette,F,924,1956
Cherie,F,923,1956
Patrice,F,913,1956
Irma,F,906,1956
Jeannette,F,903,1956
Myra,F,896,1956
Jeri,F,893,1956
Maxine,F,892,1956
Yvette,F,868,1956
Pam,F,867,1956
Christy,F,859,1956
Terrie,F,858,1956
Jana,F,842,1956
Candy,F,839,1956
Ronda,F,837,1956
Dale,F,835,1956
Kelly,F,831,1956
Lillie,F,831,1956
Rosemarie,F,810,1956
Cassandra,F,805,1956
Rochelle,F,785,1956
Faith,F,778,1956
Hazel,F,770,1956
Stella,F,764,1956
Gwen,F,761,1956
Jenny,F,760,1956
Nanette,F,760,1956
Naomi,F,754,1956
Kerry,F,741,1956
Trudy,F,741,1956
Tamara,F,729,1956
Karin,F,725,1956
Candice,F,721,1956
Celeste,F,721,1956
Susanne,F,712,1956
Lorna,F,705,1956
Caroline,F,702,1956
Adrienne,F,699,1956
Jennie,F,696,1956
Shannon,F,692,1956
Velma,F,689,1956
Lora,F,688,1956
Jessie,F,684,1956
Lana,F,680,1956
Marcella,F,673,1956
Kristi,F,669,1956
Leah,F,668,1956
Rosanne,F,667,1956
Cecelia,F,665,1956
Heather,F,661,1956
Marguerite,F,655,1956
Molly,F,654,1956
Deloris,F,649,1956
Amanda,F,642,1956
Dixie,F,627,1956
Hilda,F,626,1956
Sonia,F,624,1956
Janette,F,618,1956
Rene,F,614,1956
Leigh,F,613,1956
Natalie,F,612,1956
Chris,F,611,1956
Verna,F,607,1956
Shari,F,604,1956
Kimberley,F,595,1956
Alison,F,592,1956
Laverne,F,592,1956
Harriet,F,591,1956
Kathie,F,586,1956
Rosalie,F,586,1956
Janine,F,578,1956
Bridget,F,577,1956
Lorrie,F,574,1956
Jodi,F,570,1956
Johnnie,F,569,1956
Rosalind,F,569,1956
Gretchen,F,567,1956
Tonya,F,566,1956
Madeline,F,565,1956
Celia,F,559,1956
Desiree,F,556,1956
Mattie,F,555,1956
Cora,F,552,1956
Polly,F,551,1956
Shawn,F,548,1956
Mindy,F,546,1956
Geneva,F,545,1956
Hope,F,545,1956
Olga,F,545,1956
Guadalupe,F,544,1956
Della,F,543,1956
Unknown,F,540,1956
Olivia,F,537,1956
Lena,F,536,1956
Luanne,F,534,1956
Ernestine,F,533,1956
Gay,F,529,1956
Freda,F,528,1956
Viola,F,528,1956
Amelia,F,525,1956
Leona,F,520,1956
Margarita,F,520,1956
Lola,F,518,1956
Tracey,F,517,1956
Lenora,F,516,1956
Bessie,F,514,1956
Corinne,F,512,1956
Margo,F,512,1956
Ava,F,508,1956
Agnes,F,507,1956
Jeanine,F,507,1956
Dena,F,503,1956
Camille,F,500,1956
Minnie,F,497,1956
Daisy,F,496,1956
Jolene,F,493,1956
Noreen,F,492,1956
Nellie,F,486,1956
Stacey,F,486,1956
Katie,F,484,1956
Joanna,F,483,1956
Christie,F,480,1956
Delia,F,479,1956
Leticia,F,479,1956
Elsie,F,476,1956
Sonja,F,472,1956
Dee,F,468,1956
Felicia,F,468,1956
Pearl,F,468,1956
Ana,F,467,1956
Rena,F,466,1956
Mae,F,464,1956
Debby,F,461,1956
Ladonna,F,457,1956
Stacy,F,457,1956
Jeanie,F,453,1956
Myrna,F,453,1956
Tara,F,453,1956
Kristin,F,452,1956
Helene,F,451,1956
Reba,F,451,1956
Alberta,F,447,1956
Diann,F,446,1956
Robbie,F,445,1956
Leanne,F,444,1956
Jerri,F,442,1956
Pat,F,434,1956
Katrina,F,433,1956
Jeannine,F,431,1956
Lorie,F,431,1956
Lila,F,428,1956
Mitzi,F,425,1956
Claudette,F,424,1956
Leann,F,424,1956
Denice,F,422,1956
Suzan,F,419,1956
Dona,F,418,1956
Colette,F,410,1956
Melodie,F,408,1956
Flora,F,407,1956
Rae,F,407,1956
Eunice,F,406,1956
Jessica,F,406,1956
Glenna,F,404,1956
Isabel,F,404,1956
Jocelyn,F,404,1956
Katharine,F,404,1956
Nita,F,404,1956
Robbin,F,404,1956
Allison,F,402,1956
Kathi,F,402,1956
Marcy,F,400,1956
Lynnette,F,399,1956
Gayla,F,397,1956
Ada,F,396,1956
Randi,F,396,1956
Elise,F,395,1956
Marta,F,395,1956
Frankie,F,394,1956
Sonya,F,394,1956
Roxann,F,391,1956
Hattie,F,390,1956
Althea,F,386,1956
Rosalyn,F,384,1956
Sondra,F,383,1956
Lea,F,382,1956
Rosetta,F,381,1956
Penelope,F,380,1956
Sharlene,F,380,1956
Angie,F,375,1956
Roslyn,F,375,1956
Janelle,F,369,1956
Kristy,F,369,1956
Cathryn,F,367,1956
Violet,F,367,1956
Sharron,F,366,1956
Suzette,F,366,1956
Adele,F,362,1956
Roseann,F,362,1956
Henrietta,F,361,1956
Mari,F,361,1956
Mamie,F,360,1956
Bobbi,F,358,1956
Melba,F,358,1956
Estella,F,355,1956
Trina,F,354,1956
Kaye,F,351,1956
Kristina,F,350,1956
Lorene,F,350,1956
Eloise,F,349,1956
Elena,F,347,1956
Geralyn,F,346,1956
Kimberlee,F,345,1956
Saundra,F,344,1956
Shelby,F,344,1956
Valarie,F,342,1956
Gertrude,F,340,1956
Gracie,F,336,1956
Darcy,F,334,1956
Charmaine,F,333,1956
Dinah,F,333,1956
Sallie,F,331,1956
Vickey,F,330,1956
Lula,F,329,1956
Eugenia,F,328,1956
Fay,F,328,1956
Ruthie,F,327,1956
Antonia,F,326,1956
Lauri,F,324,1956
Ivy,F,322,1956
Teena,F,322,1956
Fannie,F,320,1956
Leesa,F,318,1956
Elisabeth,F,312,1956
Elsa,F,310,1956
Jodie,F,308,1956
Roxane,F,308,1956
Erma,F,307,1956
Malinda,F,307,1956
Erin,F,306,1956
Marisa,F,306,1956
Eve,F,305,1956
Coleen,F,303,1956
Lesa,F,303,1956
Cherry,F,302,1956
Kris,F,302,1956
Lu,F,302,1956
Caren,F,301,1956
Ilene,F,301,1956
Carlene,F,300,1956
Merry,F,298,1956
Lesley,F,296,1956
Deana,F,295,1956
Kristie,F,294,1956
Dorothea,F,293,1956
Johanna,F,291,1956
Laureen,F,290,1956
Meredith,F,289,1956
Elisa,F,288,1956
Julianne,F,288,1956
Avis,F,287,1956
Blanca,F,287,1956
Maggie,F,286,1956
Inez,F,284,1956
Benita,F,283,1956
Bette,F,282,1956
Pamala,F,282,1956
Deena,F,280,1956
Josie,F,280,1956
Nelda,F,280,1956
Genevieve,F,278,1956
Kitty,F,278,1956
Lyn,F,277,1956
Rachelle,F,277,1956
Kathrine,F,275,1956
Maryanne,F,275,1956
Deirdre,F,274,1956
Dorene,F,274,1956
Clare,F,271,1956
Rosalinda,F,271,1956
Debrah,F,270,1956
Alfreda,F,268,1956
Angelia,F,267,1956
Jewel,F,267,1956
Tena,F,267,1956
Cheryle,F,266,1956
Geri,F,265,1956
Patrica,F,263,1956
Angelina,F,262,1956
Daphne,F,261,1956
Caryn,F,259,1956
Christi,F,259,1956
Ingrid,F,259,1956
Lorri,F,259,1956
Roxie,F,259,1956
Earnestine,F,258,1956
Myrtle,F,258,1956
Tammy,F,258,1956
Etta,F,257,1956
Terese,F,257,1956
Greta,F,255,1956
Debbra,F,254,1956
Winifred,F,254,1956
Lavonne,F,253,1956
Marva,F,252,1956
Maryellen,F,252,1956
Valorie,F,252,1956
Cathie,F,251,1956
Georgette,F,251,1956
Lenore,F,251,1956
James,F,249,1956
Kristen,F,249,1956
Mable,F,249,1956
Blanche,F,248,1956
Dolly,F,248,1956
Marilynn,F,248,1956
Maura,F,248,1956
Pattie,F,247,1956
Bettie,F,245,1956
Karon,F,245,1956
Alisa,F,242,1956
Delois,F,241,1956
Krista,F,241,1956
Michael,F,241,1956
Rhoda,F,241,1956
Bonny,F,240,1956
Danette,F,240,1956
Sadie,F,240,1956
Cindi,F,239,1956
Kari,F,238,1956
Lela,F,238,1956
Kendra,F,237,1956
Earlene,F,235,1956
Silvia,F,235,1956
Dawna,F,234,1956
Renae,F,233,1956
Fern,F,232,1956
Beverley,F,231,1956
Luz,F,231,1956
Marcie,F,230,1956
Sherrill,F,230,1956
Ina,F,227,1956
Helena,F,225,1956
Ora,F,225,1956
Edwina,F,224,1956
John,F,223,1956
Valeria,F,223,1956
Gaye,F,222,1956
Danielle,F,221,1956
Lucia,F,219,1956
Muriel,F,219,1956
Arleen,F,218,1956
Deanne,F,218,1956
Elvira,F,218,1956
Nan,F,218,1956
Bambi,F,217,1956
Cinda,F,216,1956
Elva,F,216,1956
Loraine,F,216,1956
Nanci,F,216,1956
Janell,F,215,1956
Jerry,F,215,1956
Robert,F,215,1956
Letha,F,214,1956
Nettie,F,214,1956
Nona,F,214,1956
Essie,F,211,1956
Twila,F,211,1956
Corrine,F,210,1956
Rebekah,F,210,1956
Renita,F,210,1956
Shauna,F,210,1956
Karyn,F,208,1956
Sherie,F,208,1956
Clarice,F,207,1956
Nola,F,207,1956
Marina,F,206,1956
Millie,F,206,1956
Mollie,F,205,1956
Roxanna,F,205,1956
Dina,F,204,1956
Georgina,F,204,1956
Karol,F,204,1956
Lupe,F,204,1956
Melva,F,201,1956
Rosanna,F,200,1956
Danita,F,199,1956
Doretha,F,199,1956
Dorinda,F,198,1956
Iva,F,198,1956
Bettye,F,197,1956
Joe,F,197,1956
Janna,F,196,1956
Megan,F,196,1956
Madonna,F,195,1956
Randy,F,195,1956
Kerri,F,194,1956
Debi,F,193,1956
Minerva,F,193,1956
Juliana,F,192,1956
Marybeth,F,191,1956
Charla,F,190,1956
Freida,F,190,1956
Abigail,F,189,1956
Jannie,F,189,1956
Graciela,F,188,1956
Mercedes,F,188,1956
Kyle,F,186,1956
Mariann,F,186,1956
Vikki,F,185,1956
Willa,F,185,1956
Maribeth,F,184,1956
Tommie,F,184,1956
Tonia,F,184,1956
Carmela,F,183,1956
Joanie,F,183,1956
Katheryn,F,183,1956
Alexis,F,182,1956
Erica,F,182,1956
Mabel,F,182,1956
Marylou,F,182,1956
Ollie,F,182,1956
Teressa,F,182,1956
Nannette,F,181,1956
Addie,F,180,1956
Gisele,F,180,1956
Leila,F,180,1956
Mara,F,180,1956
Susanna,F,180,1956
Gilda,F,179,1956
Aileen,F,178,1956
Cathrine,F,178,1956
Felecia,F,178,1956
Harriett,F,178,1956
Caryl,F,177,1956
Dorthy,F,177,1956
Francis,F,177,1956
Jimmie,F,177,1956
Dottie,F,175,1956
Deann,F,174,1956
Aurora,F,173,1956
Delilah,F,173,1956
Eula,F,173,1956
Jaye,F,173,1956
Nikki,F,173,1956
Cara,F,172,1956
Clarissa,F,172,1956
Marci,F,172,1956
Alexandra,F,171,1956
Caron,F,171,1956
Lorena,F,171,1956
Neva,F,171,1956
Raquel,F,171,1956
Karan,F,170,1956
Tricia,F,170,1956
Marietta,F,169,1956
Queen,F,169,1956
Leeann,F,168,1956
Darleen,F,167,1956
Gena,F,167,1956
Sybil,F,167,1956
Cornelia,F,166,1956
Sherryl,F,166,1956
Annmarie,F,165,1956
Cecile,F,165,1956
Christa,F,165,1956
Deidre,F,165,1956
May,F,165,1956
Jacklyn,F,164,1956
Libby,F,164,1956
Louann,F,164,1956
Maryjo,F,164,1956
Ester,F,163,1956
Kandy,F,163,1956
Lilly,F,163,1956
Aida,F,162,1956
Donita,F,162,1956
Hilary,F,162,1956
Milagros,F,162,1956
Earline,F,161,1956
Fran,F,161,1956
Jewell,F,161,1956
Lavern,F,161,1956
Reva,F,161,1956
Bernadine,F,160,1956
Carmella,F,160,1956
Frieda,F,160,1956
Rosario,F,160,1956
Vonda,F,160,1956
Lily,F,159,1956
Peggie,F,159,1956
Carey,F,158,1956
David,F,158,1956
Estelle,F,158,1956
Kelley,F,158,1956
Shirlene,F,158,1956
Charles,F,157,1956
Lottie,F,157,1956
Pearlie,F,157,1956
Tracie,F,157,1956
Velda,F,157,1956
William,F,157,1956
Bethany,F,156,1956
Marilee,F,156,1956
Meryl,F,156,1956
Mimi,F,156,1956
Sandi,F,155,1956
Delphine,F,154,1956
Aleta,F,153,1956
Danna,F,153,1956
Judi,F,153,1956
Lourdes,F,153,1956
Celestine,F,152,1956
Leola,F,152,1956
Nicole,F,152,1956
Jacquline,F,151,1956
Opal,F,151,1956
Lizzie,F,150,1956
Madelyn,F,150,1956
Valencia,F,150,1956
Debbi,F,149,1956
Mickey,F,149,1956
Joycelyn,F,148,1956
Reta,F,148,1956
Cherrie,F,147,1956
Jenifer,F,147,1956
Tana,F,147,1956
Twyla,F,147,1956
Eddie,F,146,1956
Consuelo,F,144,1956
Lise,F,144,1956
Pamella,F,144,1956
Cheryll,F,143,1956
Lucretia,F,143,1956
Margery,F,143,1956
Mavis,F,143,1956
Retha,F,143,1956
Cleo,F,142,1956
Dian,F,142,1956
Evangeline,F,142,1956
Francesca,F,142,1956
Roseanne,F,142,1956
Sherree,F,142,1956
Lawanda,F,141,1956
Louisa,F,141,1956
Zelda,F,141,1956
Hannah,F,140,1956
Jacalyn,F,140,1956
Migdalia,F,140,1956
Beulah,F,139,1956
Lindy,F,139,1956
Magdalena,F,139,1956
Venita,F,139,1956
Dani,F,137,1956
Joellen,F,137,1956
Leta,F,137,1956
Lorelei,F,137,1956
Carmel,F,136,1956
Cherri,F,136,1956
Daryl,F,136,1956
Freddie,F,136,1956
Jann,F,136,1956
Lizabeth,F,136,1956
Ronnie,F,136,1956
Sheena,F,136,1956
Carleen,F,135,1956
Catharine,F,135,1956
Starr,F,135,1956
Susana,F,135,1956
Pennie,F,134,1956
Portia,F,134,1956
Roni,F,134,1956
Ursula,F,134,1956
Alyce,F,133,1956
Barbra,F,133,1956
Alana,F,132,1956
Candis,F,132,1956
Dara,F,132,1956
Gerri,F,131,1956
Goldie,F,131,1956
Kelli,F,131,1956
Marty,F,131,1956
Richard,F,131,1956
Shawna,F,131,1956
Effie,F,130,1956
Jerilyn,F,129,1956
Martina,F,129,1956
Barb,F,128,1956
Corliss,F,128,1956
Janeen,F,128,1956
Joleen,F,128,1956
Tami,F,128,1956
Adela,F,127,1956
Athena,F,127,1956
Madeleine,F,127,1956
Bettina,F,126,1956
Kathey,F,126,1956
Mickie,F,126,1956
Ronna,F,126,1956
Callie,F,125,1956
Camilla,F,125,1956
Cary,F,125,1956
Juliann,F,125,1956
Romona,F,125,1956
Dayna,F,124,1956
Jacque,F,124,1956
Josefina,F,124,1956
Juliet,F,124,1956
Lauretta,F,124,1956
Sharen,F,124,1956
Angel,F,123,1956
Dollie,F,123,1956
Ginny,F,123,1956
Kellie,F,123,1956
Ophelia,F,123,1956
Oralia,F,123,1956
Vernell,F,123,1956
Amber,F,122,1956
Annetta,F,122,1956
Ola,F,122,1956
Shellie,F,122,1956
Starla,F,122,1956
Angelita,F,121,1956
Daria,F,121,1956
Elyse,F,121,1956
Juana,F,121,1956
Marlys,F,121,1956
Rachael,F,121,1956
Rowena,F,121,1956
Sophia,F,121,1956
Winona,F,121,1956
Lona,F,120,1956
Lorinda,F,120,1956
Sydney,F,120,1956
Lonnie,F,119,1956
Wendi,F,119,1956
Cathey,F,118,1956
Gaylene,F,118,1956
Petra,F,118,1956
Treva,F,118,1956
Abby,F,117,1956
Liz,F,117,1956
Alta,F,116,1956
Cassie,F,116,1956
Jeanna,F,116,1956
Kara,F,116,1956
Leisa,F,116,1956
Taryn,F,116,1956
Merri,F,115,1956
Selma,F,115,1956
Vernita,F,115,1956
Charleen,F,114,1956
Paige,F,114,1956
Rhea,F,114,1956
Suzann,F,114,1956
Angeline,F,113,1956
Chandra,F,113,1956
Dori,F,113,1956
Matilda,F,113,1956
Jannette,F,112,1956
Nicki,F,112,1956
Odessa,F,112,1956
Rosita,F,112,1956
Venus,F,112,1956
Elnora,F,111,1956
Laurene,F,111,1956
Marita,F,111,1956
Antionette,F,110,1956
Glendora,F,110,1956
Jami,F,110,1956
Meg,F,110,1956
Millicent,F,110,1956
Cristina,F,109,1956
Elissa,F,109,1956
Phoebe,F,109,1956
Adrian,F,108,1956
Delma,F,108,1956
Kate,F,108,1956
Monique,F,108,1956
Sharyn,F,108,1956
Stacie,F,108,1956
Suellen,F,108,1956
Toby,F,108,1956
Veda,F,108,1956
Annamarie,F,107,1956
Carmelita,F,107,1956
Carolina,F,107,1956
Corine,F,107,1956
Eliza,F,107,1956
Glynis,F,107,1956
Jerrie,F,107,1956
Juli,F,107,1956
Justine,F,107,1956
Leanna,F,107,1956
Letitia,F,107,1956
Maritza,F,107,1956
Merle,F,107,1956
Merrie,F,107,1956
Babette,F,106,1956
Beryl,F,106,1956
Bobby,F,106,1956
Lani,F,106,1956
Larry,F,106,1956
Nell,F,106,1956
Rona,F,106,1956
Adrianne,F,105,1956
Debroah,F,105,1956
Elida,F,105,1956
Sheron,F,105,1956
Darline,F,104,1956
Margot,F,104,1956
Melodee,F,104,1956
Spring,F,104,1956
Theodora,F,104,1956
Elma,F,103,1956
Esperanza,F,103,1956
Hollis,F,103,1956
Thomas,F,103,1956
Virgie,F,103,1956
Erika,F,102,1956
Evonne,F,102,1956
Gerry,F,102,1956
Sanjuanita,F,102,1956
Beckie,F,101,1956
Eartha,F,101,1956
Hollie,F,101,1956
Keri,F,101,1956
Marianna,F,101,1956
Sharla,F,101,1956
Traci,F,101,1956
Collette,F,100,1956
Donnie,F,100,1956
Erlinda,F,100,1956
Janey,F,100,1956
Leslee,F,100,1956
Fonda,F,99,1956
Hillary,F,99,1956
Lanette,F,99,1956
Margret,F,99,1956
Shiela,F,99,1956
Sophie,F,99,1956
Winnie,F,99,1956
Esmeralda,F,98,1956
Joetta,F,98,1956
Loreen,F,98,1956
Nedra,F,98,1956
Noel,F,98,1956
Serena,F,98,1956
Brinda,F,97,1956
Carlotta,F,97,1956
Aimee,F,96,1956
Carroll,F,96,1956
Dalia,F,96,1956
Juliette,F,96,1956
Lelia,F,96,1956
Linnea,F,96,1956
Tresa,F,96,1956
Candi,F,95,1956
Gaynell,F,95,1956
Marti,F,95,1956
Maryjane,F,95,1956
Zelma,F,95,1956
Risa,F,94,1956
Wilda,F,94,1956
Abbie,F,93,1956
Bennie,F,93,1956
Cordelia,F,93,1956
Deborha,F,93,1956
Sheryll,F,93,1956
Shirlee,F,93,1956
Thea,F,93,1956
Adeline,F,92,1956
Aletha,F,92,1956
Delinda,F,92,1956
Gabrielle,F,92,1956
Giselle,F,92,1956
Laraine,F,92,1956
Moira,F,92,1956
Nila,F,92,1956
Norine,F,92,1956
Ofelia,F,92,1956
Zoe,F,92,1956
Aline,F,91,1956
Carolynn,F,91,1956
Cherryl,F,91,1956
Jonnie,F,91,1956
Mandy,F,91,1956
Nancie,F,91,1956
Noemi,F,91,1956
Phillis,F,91,1956
Rosann,F,91,1956
Sarita,F,91,1956
Suzanna,F,91,1956
Allyson,F,90,1956
Cathi,F,90,1956
Charisse,F,90,1956
Concetta,F,90,1956
Elouise,F,90,1956
Elvia,F,90,1956
Francisca,F,90,1956
Glinda,F,90,1956
Nilda,F,90,1956
Roselyn,F,90,1956
Bernita,F,89,1956
Jacki,F,89,1956
Lita,F,89,1956
Pansy,F,89,1956
Wilhelmina,F,89,1956
Angelica,F,88,1956
Annemarie,F,88,1956
Aurelia,F,88,1956
George,F,88,1956
Isabelle,F,88,1956
Evette,F,87,1956
Gwenda,F,87,1956
Imogene,F,87,1956
Janel,F,87,1956
Kirsten,F,87,1956
Alva,F,86,1956
Jacquelin,F,86,1956
Karlene,F,86,1956
Louella,F,86,1956
Pandora,F,86,1956
Pearline,F,86,1956
Brooke,F,85,1956
Carin,F,85,1956
Donald,F,85,1956
Evon,F,85,1956
Kathaleen,F,85,1956
Laurette,F,85,1956
Leilani,F,85,1956
Liane,F,85,1956
Loren,F,85,1956
Luella,F,85,1956
Nena,F,85,1956
Val,F,85,1956
Elba,F,84,1956
Joseph,F,84,1956
Linette,F,84,1956
Mark,F,84,1956
Tamra,F,84,1956
Trudi,F,84,1956
Carolann,F,83,1956
Ila,F,83,1956
Ivette,F,83,1956
Jeanetta,F,83,1956
Lindsay,F,83,1956
Lolita,F,83,1956
Regenia,F,83,1956
Trena,F,83,1956
Claudine,F,82,1956
Corina,F,82,1956
Emilia,F,82,1956
Estela,F,82,1956
Felice,F,82,1956
Katy,F,82,1956
Roxana,F,82,1956
Amalia,F,81,1956
Candyce,F,81,1956
Lissa,F,81,1956
Lory,F,81,1956
Melonie,F,81,1956
Micki,F,81,1956
Miranda,F,81,1956
Sidney,F,81,1956
Vernice,F,81,1956
Viki,F,81,1956
Beatriz,F,80,1956
